"",".metric",".estimator",".estimate","model","dataset","description","value_round"
"1","rmse","standard",62.8821214310139,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",62.882
"2","rsq","standard",0.847691125116968,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",0.848
"3","msd","standard",-37.0880262185818,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",-37.088
"4","mae","standard",46.191755981432,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",46.192
"5","mpe","standard",-89.5268835875052,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",-89.527
"6","mape","standard",92.4828203211066,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",92.483
"7","smape","standard",27.6593603424943,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",27.659
"8","mase","standard",0.513275280530978,"ets_xls","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",0.513
"9","rmse","standard",58.6170052845931,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",58.617
"10","rsq","standard",0.880574635126547,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",0.881
"11","msd","standard",-42.7695720208446,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",-42.77
"12","mae","standard",46.5871320760691,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",46.587
"13","mpe","standard",-78.0221332339569,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",-78.022
"14","mape","standard",79.2951684733106,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",79.295
"15","smape","standard",28.0523514061239,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",28.052
"16","mase","standard",0.517668635396545,"prophet","M204","FRANCE MAIN ECO. INDICATORS 1960-1975 PRODUCTION:PASSENGER CARS",0.518
"17","rmse","standard",3.56284663980356,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",3.563
"18","rsq","standard",0.673932326032671,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.674
"19","msd","standard",0.639152872668008,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.639
"20","mae","standard",2.99254028311306,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",2.993
"21","mpe","standard",0.370477482666886,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.37
"22","mape","standard",8.58161361154868,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",8.582
"23","smape","standard",8.48608384068175,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",8.486
"24","mase","standard",0.618819910143803,"ets_xls","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.619
"25","rmse","standard",2.9761444103507,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",2.976
"26","rsq","standard",0.822894378185294,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.823
"27","msd","standard",0.850665744360005,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.851
"28","mae","standard",2.37986785773776,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",2.38
"29","mpe","standard",1.24030287955329,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",1.24
"30","mape","standard",6.70264707110802,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",6.703
"31","smape","standard",6.67414298933051,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",6.674
"32","mase","standard",0.492126913776206,"prophet","M208","OTHER OECD/OCDE 1960-1975 DELIVERIES METAL PRODUCT BELGIUM",0.492
"33","rmse","standard",3.63624510673212,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",3.636
"34","rsq","standard",0.686117196729647,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",0.686
"35","msd","standard",-2.21556210653338,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",-2.216
"36","mae","standard",2.75629671613484,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",2.756
"37","mpe","standard",-9.63869027997344,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",-9.639
"38","mape","standard",11.4996301494916,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",11.5
"39","smape","standard",10.3252269705877,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",10.325
"40","mase","standard",0.475223571747386,"ets_xls","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",0.475
"41","rmse","standard",6.66033442449332,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",6.66
"42","rsq","standard",0.67648609238731,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",0.676
"43","msd","standard",4.68757585925486,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",4.688
"44","mae","standard",5.10731457113777,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",5.107
"45","mpe","standard",19.1069621409851,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",19.107
"46","mape","standard",20.6776395607402,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",20.678
"47","smape","standard",25.9550847529333,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",25.955
"48","mase","standard",0.880571477782374,"prophet","M209","OTHER PRIVATE COMPANY DATA INDUSTRY",0.881
